latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,month,prali_fire,geometry,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,NDVI,NBR,NDWI
34.11965,74.06179,308.94,0.33,0.55,2023-10-08,2013,N20,VIIRS,1,2,285.97,0.94,N,0,10,0,POINT (74.06179 34.11965),Z01.14_1,Z01,India,Jammu and Kashmir,,,State,State,,IN.JK,,0.44529616724738674,0.10377860564129857,-0.45136459062281314
31.09685,77.78629,297.35,0.56,0.43,2023-10-08,2013,N20,VIIRS,1,2,286.31,0.9,N,0,10,0,POINT (77.78629 31.09685),IND.13_1,IND,India,Himachal Pradesh,,,Union Territor,Union Territory,,IN.HP,IN-HP,0.6341296928327645,0.4004914004914005,-0.5917553191489362
28.27047,79.9912,313.67,0.42,0.38,2023-10-08,2014,N20,VIIRS,1,2,294.94,1.34,N,0,10,1,POINT (79.9912 28.27047),IND.34_1,IND,India,Uttar Pradesh,United Provinces,,State,State,,IN.UP,IN-UP,0.4971291866028708,0.23933062679473216,-0.5336355838745251
28.27094,79.99265,307.54,0.42,0.38,2023-10-08,2014,N20,VIIRS,1,2,294.55,1.28,N,0,10,1,POINT (79.99265 28.27094),IND.34_1,IND,India,Uttar Pradesh,United Provinces,,State,State,,IN.UP,IN-UP,0.711179667988835,0.4534564512103818,-0.6290909090909091
26.7604,83.19993,313.74,0.39,0.36,2023-10-08,2014,N20,VIIRS,1,2,297.78,1.41,N,2,10,0,POINT (83.19993 26.7604),IND.34_1,IND,India,Uttar Pradesh,United Provinces,,State,State,,IN.UP,IN-UP,-0.007978723404255319,-0.3187214611872146,-0.11509715994020926
29.12379,75.77782,309.23,0.46,0.47,2023-10-08,2014,N20,VIIRS,1,2,296.05,1.31,N,2,10,1,POINT (75.77782 29.12379),IND.12_1,IND,India,Haryana,,,State,State,,IN.HR,IN-HR,0.05586152635719906,-0.0478893224547712,-0.15540249677141627
28.77768,79.27451,305.03,0.45,0.39,2023-10-08,2014,N20,VIIRS,1,2,294.78,0.62,N,0,10,1,POINT (79.27451 28.77768),IND.34_1,IND,India,Uttar Pradesh,United Provinces,,State,State,,IN.UP,IN-UP,0.6307784073963615,0.29634898055950687,-0.48748639825897716
29.57832,76.43256,316.05,0.42,0.45,2023-10-08,2014,N20,VIIRS,1,2,294.12,1.13,N,0,10,1,POINT (76.43256 29.57832),IND.12_1,IND,India,Haryana,,,State,State,,IN.HR,IN-HR,0.5548745885824538,0.37329591018444264,-0.5694810402107916
28.74384,76.92747,310.09,0.39,0.44,2023-10-08,2014,N20,VIIRS,1,2,296.06,1.1,N,0,10,1,POINT (76.92747 28.74384),IND.12_1,IND,India,Haryana,,,State,State,,IN.HR,IN-HR,0.4356047890791093,0.2325871841675473,-0.42857142857142855
28.2575,80.13637,308.05,0.42,0.37,2023-10-08,2014,N20,VIIRS,1,2,294.97,0.76,N,0,10,0,POINT (80.13637 28.2575),IND.34_1,IND,India,Uttar Pradesh,United Provinces,,State,State,,IN.UP,IN-UP,0.6311941510966693,0.28800513149454776,-0.640076231962973
23.76894,86.37408,308.74,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,290.02,2.06,N,2,10,0,POINT (86.37408 23.76894),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.01694915254237288,-0.15106117353308365,-0.11353711790393013
24.92371,84.15674,309.97,0.43,0.38,2023-10-08,2015,N20,VIIRS,1,2,296.02,0.64,N,0,10,0,POINT (84.15674 24.92371),IND.5_1,IND,India,Bihar,,,State,State,,IN.BR,IN-BR,0.33933393339333934,0.36639118457300274,-0.29673202614379085
24.14633,86.329,307.48,0.55,0.43,2023-10-08,2015,N20,VIIRS,1,2,294.26,0.61,N,0,10,0,POINT (86.329 24.14633),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.6980817347789825,0.4282707821816906,-0.6139516448672215
23.79872,87.04716,307.96,0.41,0.45,2023-10-08,2015,N20,VIIRS,1,2,292.72,3.45,N,2,10,0,POINT (87.04716 23.79872),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.6965280754393485,0.41475038722745144,-0.6239059080962801
23.69463,87.12311,313.84,0.42,0.45,2023-10-08,2015,N20,VIIRS,1,2,294.55,2.14,N,2,10,0,POINT (87.12311 23.69463),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,-0.11363636363636363,-0.052336448598130844,-0.12791991101223582
23.69295,87.11015,307.52,0.42,0.45,2023-10-08,2015,N20,VIIRS,1,2,294.07,3.31,N,2,10,0,POINT (87.11015 23.69295),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,-0.052083333333333336,-0.36363636363636365,-0.17672413793103448
23.69055,87.12218,311.93,0.42,0.45,2023-10-08,2015,N20,VIIRS,1,2,294.32,2.14,N,2,10,0,POINT (87.12218 23.69055),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.04722056186491333,-0.2528784648187633,-0.39158061953931694
23.69127,87.09722,310.65,0.41,0.45,2023-10-08,2015,N20,VIIRS,1,2,294.72,3.81,N,2,10,0,POINT (87.09722 23.69127),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,-0.00977869274318065,-0.1486725663716814,-0.15903614457831325
23.68647,87.12127,306.7,0.42,0.45,2023-10-08,2015,N20,VIIRS,1,2,293.67,2.68,N,2,10,0,POINT (87.12127 23.68647),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.0929936305732484,-0.33591331269349844,-0.18672199170124482
23.69223,87.09856,310.91,0.42,0.45,2023-10-08,2015,N20,VIIRS,1,2,294.46,3.71,N,2,10,0,POINT (87.09856 23.69223),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,-0.03278688524590164,-0.24115755627009647,-0.21025641025641026
23.73253,86.75727,312.12,0.4,0.44,2023-10-08,2015,N20,VIIRS,1,2,290.85,1.94,N,2,10,0,POINT (86.75727 23.73253),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.10078534031413612,0.13189771197846567,-0.04277743335399876
23.80855,86.31526,309.88,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,296.74,3.63,N,2,10,0,POINT (86.31526 23.80855),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.038280725319006045,-0.20532741398446172,-0.05917159763313609
23.80652,86.32599,307.37,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,294.27,2.87,N,2,10,0,POINT (86.32599 23.80652),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.11983471074380166,-0.011206671879072191,-0.21836865767501606
23.8055,86.33137,317.72,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,295.05,2.87,N,2,10,0,POINT (86.33137 23.8055),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.07925801011804384,-0.12348778817621547,-0.23870967741935484
23.79749,86.35221,306.27,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,291.98,2.2,N,2,10,0,POINT (86.35221 23.79749),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.4448628294782141,0.22985347985347984,-0.37461617195496416
23.79359,86.35135,334.12,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,294.16,6.62,N,2,10,0,POINT (86.35135 23.79359),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.2607184241019699,-0.29346622369878184,0.33541666666666664
23.78143,86.39388,326.04,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,293.15,5.28,N,2,10,0,POINT (86.39388 23.78143),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03874915023793338,-0.3120216118865376,-0.1251840942562592
23.78167,86.3713,310.42,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,290.77,1.74,N,2,10,0,POINT (86.3713 23.78167),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.5487179487179488,0.264819587628866,-0.526438569206843
23.77857,86.38754,313.99,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,291.36,2.4,N,2,10,0,POINT (86.38754 23.77857),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.1570458404074703,-0.0010993037742762918,-0.18728222996515678
23.77753,86.39302,310.76,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,292.02,2.4,N,2,10,0,POINT (86.39302 23.77753),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03399122807017544,-0.14660633484162897,-0.12462731067382231
23.78501,86.3325,307.16,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,294.71,3.62,N,2,10,0,POINT (86.3325 23.78501),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.1267080745341615,-0.13906027527289985,-0.2588480222068008
23.77467,86.38669,318.75,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,291.16,2.4,N,2,10,0,POINT (86.38669 23.77467),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03528114663726571,-0.17195767195767195,-0.0774526678141136
23.77491,86.36414,306.23,0.56,0.43,2023-10-08,2015,N20,VIIRS,1,2,290.51,1.17,N,2,10,0,POINT (86.36414 23.77491),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03371592539454806,-0.10329807093963908,-0.1523390643742503
23.76971,86.39132,306.58,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,291.12,1.51,N,2,10,0,POINT (86.39132 23.76971),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.0490272373540856,-0.1569731081926204,-0.20035618878005343
23.76866,86.39679,306.81,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,290.27,1.52,N,2,10,0,POINT (86.39679 23.76866),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.05278592375366569,-0.20310765815760268,-0.11145510835913312
23.76762,86.40222,307.47,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,289.95,1.52,N,2,10,0,POINT (86.40222 23.76762),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.6144919332012454,0.3299137328048496,-0.5584699453551912
23.79571,86.23396,309.26,0.55,0.43,2023-10-08,2015,N20,VIIRS,1,2,295.62,1.99,N,2,10,0,POINT (86.23396 23.79571),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.3002200565859793,0.07289234760051881,-0.34767025089605735
23.76685,86.385,304.45,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,287.81,1.51,N,2,10,0,POINT (86.385 23.76685),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.2732824427480916,-0.02948021722265322,-0.3273209549071618
23.7658,86.39046,308.27,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,289.68,1.51,N,2,10,0,POINT (86.39046 23.7658),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03323943661971831,-0.15871559633027524,-0.10481927710843374
23.76476,86.39592,309.88,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,290.41,1.52,N,2,10,0,POINT (86.39592 23.76476),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.05025125628140704,-0.13814432989690723,-0.16800558854348585
23.75981,86.40048,333.55,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,289.38,3.54,N,2,10,0,POINT (86.40048 23.75981),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.02894356005788712,-0.33134030891878424,-0.0029895366218236174
23.76085,86.39507,307.54,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,289.01,3.54,N,2,10,0,POINT (86.39507 23.76085),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03321976149914821,-0.15909878682842288,-0.15194681861348527
23.75877,86.4059,304.37,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,287.36,2.06,N,2,10,0,POINT (86.4059 23.75877),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.5867631851085833,0.5037240297922383,-0.46328437917222964
23.74779,86.42059,306.1,0.57,0.43,2023-10-08,2015,N20,VIIRS,1,2,288.23,1.3,N,2,10,0,POINT (86.42059 23.74779),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.08352561144439317,-0.08352849336455893,-0.14480741101901512
23.60543,87.14996,306.54,0.42,0.45,2023-10-08,2015,N20,VIIRS,1,2,293.79,2.15,N,2,10,0,POINT (87.14996 23.60543),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.5655940594059405,0.26753507014028055,-0.5314769975786925
23.78435,86.20905,313.89,0.55,0.43,2023-10-08,2015,N20,VIIRS,1,2,295.83,1.91,N,2,10,0,POINT (86.20905 23.78435),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.7248196633716271,0.4192130138491976,-0.6270161290322581
23.78048,86.20824,328.94,0.55,0.43,2023-10-08,2015,N20,VIIRS,1,2,297.48,2.46,N,2,10,0,POINT (86.20824 23.78048),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03488372093023256,-0.22468239564428313,-0.09820051413881747
23.7815,86.2029,306.69,0.55,0.43,2023-10-08,2015,N20,VIIRS,1,2,294.42,2.46,N,2,10,0,POINT (86.2029 23.7815),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.6886828891463885,0.32887537993920973,-0.6222634508348794
