latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,month,prali_fire,geometry,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,NDVI,NBR,NDWI
25.27203,76.008,337.91,0.39,0.36,2023-10-07,807,N20,VIIRS,1,2,309.96,2.28,D,0,10,0,POINT (76.008 25.27203),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.2774105754276827,0.11193840426432017,-0.4105398733497907
24.83164,73.0862,341.18,0.42,0.38,2023-10-07,807,N20,VIIRS,1,2,307.3,2.0,D,0,10,0,POINT (73.0862 24.83164),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.28161764705882353,0.015586307356154407,-0.25984821105890854
25.35977,76.45064,349.46,0.39,0.36,2023-10-07,807,N20,VIIRS,1,2,316.79,10.54,D,0,10,0,POINT (76.45064 25.35977),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.2129541434208736,-0.1285560660866165,-0.35780654988575783
25.38206,75.87916,336.78,0.39,0.36,2023-10-07,807,N20,VIIRS,0,2,311.06,4.31,D,0,10,0,POINT (75.87916 25.38206),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.4484136310223267,0.20653876272513705,-0.504638671875
25.47384,76.49068,337.46,0.39,0.36,2023-10-07,807,N20,VIIRS,1,2,310.64,1.5,D,0,10,0,POINT (76.49068 25.47384),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.3458048303783331,0.02042976606330052,-0.40565762613006706
25.7369,78.36304,338.71,0.45,0.39,2023-10-07,807,N20,VIIRS,1,2,305.76,4.06,D,0,10,0,POINT (78.36304 25.7369),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.3572628414817434,0.19918762693329167,-0.33148308759757156
25.54879,76.25538,345.29,0.39,0.36,2023-10-07,807,N20,VIIRS,1,2,316.77,5.08,D,0,10,0,POINT (76.25538 25.54879),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.2178492239467849,-0.136229604875172,-0.3388177940280317
25.87808,78.50853,342.45,0.46,0.39,2023-10-07,807,N20,VIIRS,1,2,307.12,6.49,D,0,10,0,POINT (78.50853 25.87808),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.31858305628797434,0.08642674978747521,-0.36977491961414793
25.95515,76.6336,339.28,0.4,0.37,2023-10-07,807,N20,VIIRS,1,2,313.99,2.74,D,0,10,0,POINT (76.6336 25.95515),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.29921671018276763,-0.07877441451448672,-0.4278335724533716
26.31315,77.67052,338.74,0.43,0.38,2023-10-07,807,N20,VIIRS,0,2,311.31,5.55,D,0,10,0,POINT (77.67052 26.31315),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.43719868053793454,0.22491349480968859,-0.4613003095975232
26.32414,77.67309,337.65,0.43,0.38,2023-10-07,807,N20,VIIRS,0,2,311.76,3.06,D,0,10,0,POINT (77.67309 26.32414),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.6246449639501858,0.44332298136645965,-0.5737566137566138
26.34199,77.72718,335.29,0.43,0.38,2023-10-07,807,N20,VIIRS,0,2,307.57,3.35,D,0,10,0,POINT (77.72718 26.34199),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.28081123244929795,0.03378803777544596,-0.3345976700081279
26.4108,77.72536,337.27,0.43,0.38,2023-10-07,807,N20,VIIRS,0,2,311.49,4.71,D,0,10,0,POINT (77.72536 26.4108),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.3044070876874148,0.03683640303358613,-0.41707798617966435
