latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,month,prali_fire,geometry,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,NDVI,NBR,NDWI
8.9702,77.6067,331.18,0.6,0.53,2023-09-01,738,N20,VIIRS,1,2,289.5,3.74,D,0,9,0,POINT (77.6067 8.9702),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.14622641509433962,-0.11694747274529237,-0.46185397867104183
8.9357,77.46685,351.83,0.61,0.54,2023-09-01,738,N20,VIIRS,1,2,298.28,16.82,D,0,9,0,POINT (77.46685 8.9357),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.2844916124614858,-0.015223097112860892,-0.40735183795948987
11.14485,79.74178,330.6,0.4,0.44,2023-09-01,738,N20,VIIRS,1,2,297.67,3.43,D,0,9,0,POINT (79.74178 11.14485),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.12026179438232888,-0.16214562512747296,-0.2889865076874804
14.21426,79.15141,331.93,0.39,0.44,2023-09-01,739,N20,VIIRS,1,2,298.62,1.45,D,0,9,0,POINT (79.15141 14.21426),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.6912980068060282,0.4299219071105631,-0.6076709796672828
14.55303,78.06904,330.53,0.45,0.47,2023-09-01,739,N20,VIIRS,1,2,299.83,4.34,D,0,9,0,POINT (78.06904 14.55303),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.36268156424581005,0.1866121813582409,-0.4128822984244671
12.16975,79.5519,338.44,0.4,0.44,2023-09-01,739,N20,VIIRS,1,2,294.71,3.98,D,0,9,0,POINT (79.5519 12.16975),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.34741338395823446,-0.009766306243460064,-0.4005920078934386
12.17064,79.55141,339.01,0.4,0.44,2023-09-01,739,N20,VIIRS,1,2,294.97,3.17,D,0,9,0,POINT (79.55141 12.17064),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.41927922648696164,0.00020648358455502787,-0.46832373446498937
12.06016,76.28468,353.72,0.33,0.55,2023-09-01,739,N20,VIIRS,1,2,294.17,6.42,D,0,9,0,POINT (76.28468 12.06016),IND.16_1,IND,India,Karnataka,Maisur|Mysore,,State,State,,IN.KA,IN-KA,0.3927544565842438,0.05556766179995642,-0.47144592952612396
12.8666,80.17303,335.39,0.53,0.42,2023-09-01,739,N20,VIIRS,1,2,294.25,3.82,D,0,9,0,POINT (80.17303 12.8666),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.6991241628026791,0.4181896366372823,-0.6407960199004975
12.92242,74.8234,336.18,0.39,0.6,2023-09-01,739,N20,VIIRS,1,2,291.73,2.38,D,0,9,0,POINT (74.8234 12.92242),IND.16_1,IND,India,Karnataka,Maisur|Mysore,,State,State,,IN.KA,IN-KA,0.014064248042192744,0.11306025787211649,0.014368932038834952
13.76961,79.39618,343.23,0.38,0.43,2023-09-01,739,N20,VIIRS,1,2,295.7,10.85,D,0,9,0,POINT (79.39618 13.76961),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.49229640498899485,0.4223776223776224,-0.3874488403819918
13.7726,79.3963,332.06,0.57,0.43,2023-09-01,739,N20,VIIRS,1,2,294.59,9.37,D,0,9,0,POINT (79.3963 13.7726),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.2588635259834871,0.18194254445964433,-0.2129153018249883
14.00561,78.39087,330.93,0.44,0.46,2023-09-01,739,N20,VIIRS,1,2,298.62,4.33,D,0,9,0,POINT (78.39087 14.00561),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.04212113150660637,0.06439634091114935,-0.026554856743535988
14.13454,78.13814,343.18,0.45,0.47,2023-09-01,739,N20,VIIRS,1,2,299.64,5.16,D,0,9,0,POINT (78.13814 14.13454),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.3376702581825574,0.0910296799867352,-0.405982905982906
11.61684,77.70161,335.66,0.53,0.5,2023-09-01,739,N20,VIIRS,1,2,295.38,5.4,D,0,9,0,POINT (77.70161 11.61684),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.5270042740577645,0.2009778954874198,-0.5661530286928799
14.93712,77.71339,332.46,0.47,0.47,2023-09-01,740,N20,VIIRS,1,2,301.02,5.92,D,0,9,0,POINT (77.71339 14.93712),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.187548942834769,-0.121251629726206,-0.2762465811066695
15.35335,79.93793,336.74,0.51,0.41,2023-09-01,740,N20,VIIRS,1,2,301.55,9.05,D,0,9,0,POINT (79.93793 15.35335),IND.2_1,IND,India,Andhra Pradesh,,,State,State,,IN.AP,IN-AP,0.26671601283000246,0.09350372736954207,-0.3730944102701257
