latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,month,prali_fire,geometry,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,NDVI,NBR,NDWI
21.76995,70.60162,335.34,0.4,0.6,2023-10-09,909,N20,VIIRS,1,2,304.25,1.57,D,0,10,0,POINT (70.60162 21.76995),IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,IN-GJ,0.5924553721791849,0.21339663800846914,-0.6197327852004111
21.40681,70.59823,338.03,0.4,0.6,2023-10-09,909,N20,VIIRS,1,2,301.67,1.96,D,0,10,0,POINT (70.59823 21.40681),IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,IN-GJ,0.74591931013243,0.5535763222800767,-0.6566335476329632
20.93737,70.5295,343.35,0.39,0.59,2023-10-09,909,N20,VIIRS,1,2,303.54,3.56,D,0,10,0,POINT (70.5295 20.93737),IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,IN-GJ,0.5439667806546166,0.21674687199230028,-0.5094925373134328
21.09999,72.6388,332.06,0.53,0.67,2023-10-09,909,N20,VIIRS,0,2,302.81,9.1,D,0,10,0,POINT (72.6388 21.09999),IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,IN-GJ,0.6528709917971663,0.39974739501105144,-0.596039603960396
23.50489,70.31239,347.18,0.4,0.6,2023-10-09,910,N20,VIIRS,1,2,302.22,5.79,D,0,10,0,POINT (70.31239 23.50489),IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,IN-GJ,0.589035449299258,0.32588134135855545,-0.5366218236173393
23.78382,72.25741,335.21,0.54,0.68,2023-10-09,910,N20,VIIRS,1,2,299.96,5.16,D,0,10,0,POINT (72.25741 23.78382),IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,IN-GJ,0.7717455446713088,0.5595262829835861,-0.6842813867384719
23.78136,72.25447,344.67,0.54,0.68,2023-10-09,910,N20,VIIRS,1,2,300.44,4.7,D,0,10,0,POINT (72.25447 23.78136),IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,IN-GJ,0.6055076681965745,0.2508285365428223,-0.5732777534006143
29.45859,76.86224,306.7,0.38,0.59,2023-10-09,1955,N20,VIIRS,1,2,293.0,1.14,N,2,10,1,POINT (76.86224 29.45859),IND.12_1,IND,India,Haryana,,,State,State,,IN.HR,IN-HR,0.14838709677419354,-0.6635160680529301,-0.7115384615384616
29.44135,76.87244,303.57,0.38,0.59,2023-10-09,1955,N20,VIIRS,1,2,292.5,0.52,N,0,10,1,POINT (76.87244 29.44135),IND.12_1,IND,India,Haryana,,,State,State,,IN.HR,IN-HR,0.44544906570223025,0.1618217054263566,-0.5091252359974827
23.81664,84.84483,305.23,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,294.41,0.96,N,0,10,0,POINT (84.84483 23.81664),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.4685609790406527,0.28952569169960474,-0.5110725141120278
23.54942,86.5434,308.68,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,296.83,0.71,N,2,10,0,POINT (86.5434 23.54942),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.09312977099236641,-0.13474320241691842,-0.20741989881956155
23.80942,84.84747,305.54,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,294.71,1.06,N,2,10,0,POINT (84.84747 23.80942),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.16140249203129528,-0.1693264248704663,-0.21436146038479018
23.73783,85.00681,309.84,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,295.49,0.83,N,2,10,0,POINT (85.00681 23.73783),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.2656070784859905,-0.07740086000955566,-0.3129355770865205
23.64922,85.56694,306.56,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,295.76,0.77,N,2,10,0,POINT (85.56694 23.64922),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.11474164133738601,-0.05659163987138264,-0.18401937046004843
23.72069,85.00764,310.02,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,295.14,1.04,N,2,10,0,POINT (85.00764 23.72069),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.37976782752902155,0.1374753152058332,-0.34025416144621445
23.66774,84.99854,306.86,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,295.35,0.78,N,2,10,0,POINT (84.99854 23.66774),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.1571830985915493,0.09942459520942058,-0.24977182841496806
24.76373,74.60355,306.02,0.47,0.64,2023-10-09,1956,N20,VIIRS,1,2,295.25,1.94,N,2,10,0,POINT (74.60355 24.76373),IND.29_1,IND,India,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,IN-RJ,0.07391673746813934,-0.09947457476177754,-0.1407942238267148
23.99002,79.38932,309.57,0.46,0.47,2023-10-09,1956,N20,VIIRS,1,2,295.93,1.81,N,2,10,0,POINT (79.38932 23.99002),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.18025880228709,-0.07347035199622018,-0.2364438839848676
22.87376,86.06303,317.73,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,297.48,1.24,N,2,10,0,POINT (86.06303 22.87376),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.06553398058252427,-0.04148471615720524,-0.07334963325183375
22.85791,86.05628,310.73,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,296.51,1.04,N,2,10,0,POINT (86.05628 22.85791),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.17346383904295812,-0.019981834695731154,-0.18506315211422295
22.79684,86.20557,334.37,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.63,3.92,N,2,10,0,POINT (86.20557 22.79684),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.10026041666666667,0.04903786468032278,-0.18679775280898878
22.79145,86.19691,318.22,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,300.29,2.61,N,2,10,0,POINT (86.19691 22.79145),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.07160096540627514,-0.06787963610916725,-0.1053941908713693
22.79086,86.20062,312.92,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.53,1.35,N,2,10,0,POINT (86.20062 22.79086),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.1900709219858156,0.06607369758576874,-0.22481751824817517
22.79026,86.20434,313.57,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.98,1.35,N,2,10,0,POINT (86.20434 22.79026),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.035541195476575124,-0.07034082668600435,-0.11672473867595819
22.78697,86.20372,315.82,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,299.6,1.35,N,2,10,0,POINT (86.20372 22.78697),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.09759450171821306,0.06431189603465512,-0.16229985443959244
22.78368,86.20312,310.24,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.7,1.38,N,2,10,0,POINT (86.20312 22.78368),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.02461139896373057,-0.15265131226566683,-0.07109004739336493
23.16906,82.33743,308.86,0.47,0.4,2023-10-09,1956,N20,VIIRS,1,2,294.78,1.06,N,2,10,0,POINT (82.33743 23.16906),IND.7_1,IND,India,Chhattisgarh,,,State,State,,IN.CT,IN-CT,0.08109097565440235,0.02999651203348448,-0.13228527607361965
23.16845,82.34196,306.85,0.47,0.4,2023-10-09,1956,N20,VIIRS,1,2,295.83,1.05,N,2,10,0,POINT (82.34196 23.16845),IND.7_1,IND,India,Chhattisgarh,,,State,State,,IN.CT,IN-CT,0.05396174863387978,-0.0973968996782685,-0.1096727795756922
22.3877,87.28564,309.46,0.4,0.37,2023-10-09,1956,N20,VIIRS,1,2,297.57,0.81,N,0,10,0,POINT (87.28564 22.3877),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.5681716584711668,0.3197893152746426,-0.5285403050108932
22.37829,87.27983,321.67,0.4,0.37,2023-10-09,1956,N20,VIIRS,1,2,298.75,2.21,N,2,10,0,POINT (87.27983 22.37829),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,-0.004310344827586207,-0.06666666666666667,-0.03937007874015748
22.36832,87.29787,330.28,0.4,0.37,2023-10-09,1956,N20,VIIRS,1,2,298.09,1.91,N,2,10,0,POINT (87.29787 22.36832),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.10530749789385004,-0.39954233409610984,-0.16518650088809947
22.36767,87.30173,310.37,0.4,0.37,2023-10-09,1956,N20,VIIRS,1,2,297.65,1.91,N,2,10,0,POINT (87.30173 22.36767),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.047106325706594884,-0.10420264824409903,-0.14076246334310852
23.76749,86.39411,324.44,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,302.39,2.11,N,2,10,0,POINT (86.39411 23.76749),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.016203703703703703,-0.12170723574524842,-0.1132713440405748
23.76958,86.40221,312.45,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.39,1.82,N,2,10,0,POINT (86.40221 23.76958),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.38576220648527765,0.1658827218563813,-0.359912216532553
23.77018,86.39847,309.47,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.15,2.75,N,0,10,0,POINT (86.39847 23.77018),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.09497816593886463,-0.0461245839277223,-0.12129681386249301
23.77138,86.39099,312.72,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,299.05,3.29,N,2,10,0,POINT (86.39099 23.77138),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.023521932612841703,-0.13301023155627356,-0.07190412782956059
23.77555,86.36481,308.33,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,297.62,1.66,N,2,10,0,POINT (86.36481 23.77555),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.00046490004649000463,-0.18157594213932243,-0.11398963730569948
23.77615,86.36107,308.26,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,296.87,1.1,N,2,10,0,POINT (86.36107 23.77615),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.6623155505107832,0.41908914728682173,-0.5785502559956885
23.77853,86.34612,311.86,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,297.21,1.5,N,2,10,0,POINT (86.34612 23.77853),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.16390728476821192,-0.10445859872611465,-0.22367275892080069
23.79576,86.23774,308.39,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,296.81,0.94,N,2,10,0,POINT (86.23774 23.79576),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.32348668280871673,0.16471340294054976,-0.37026823765354727
23.79635,86.23401,308.23,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,296.44,1.05,N,2,10,0,POINT (86.23401 23.79635),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.5470765852319517,0.24607561353084237,-0.5424192665571976
24.95119,77.11858,304.79,0.33,0.55,2023-10-09,1956,N20,VIIRS,1,2,292.49,0.32,N,0,10,0,POINT (77.11858 24.95119),IND.19_1,IND,India,Madhya Pradesh,,,State,State,,IN.MP,IN-MP,0.3027608797379504,0.02475384190668998,-0.4513228202789
23.77586,86.38412,311.88,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,297.18,1.59,N,2,10,0,POINT (86.38412 23.77586),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.4198687910028116,0.09425785482123511,-0.4353387020369493
23.78182,86.34674,316.59,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,297.54,1.5,N,2,10,0,POINT (86.34674 23.78182),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.041464728056004305,-0.19917184265010351,-0.11534025374855825
23.78301,86.33926,308.14,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,296.87,1.34,N,2,10,0,POINT (86.33926 23.78301),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.16666666666666666,-0.1324200913242009,0.2005610098176718
23.77526,86.38786,339.62,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,299.86,3.29,N,2,10,0,POINT (86.38786 23.77526),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.09323308270676692,-0.6277777777777778,0.16539792387543253
23.77736,86.39597,314.14,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,299.0,1.55,N,2,10,0,POINT (86.39597 23.77736),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.14336492890995262,-0.12352406902815623,-0.18623232944068838
23.77795,86.39222,315.64,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,299.35,2.55,N,2,10,0,POINT (86.39222 23.77795),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.21188118811881188,-0.13572204125950055,0.2656826568265683
23.77855,86.38848,325.01,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,299.65,2.55,N,2,10,0,POINT (86.38848 23.77855),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.05396595436436074,-0.08691559460307499,-0.1425206124852768
23.78094,86.37353,321.42,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.54,2.63,N,2,10,0,POINT (86.37353 23.78094),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.07252747252747253,-0.08855291576673865,0.15768463073852296
23.78749,86.3324,323.48,0.38,0.36,2023-10-09,1956,N20,VIIRS,1,2,300.79,2.44,N,2,10,0,POINT (86.3324 23.78749),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.1193813436442726,-0.09354207436399217,-0.24717285945072698
23.78065,86.39658,315.09,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.72,1.55,N,2,10,0,POINT (86.39658 23.78065),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.19491993373826616,-0.09908409658617819,-0.24726224783861672
23.78184,86.3891,318.23,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,298.72,2.55,N,2,10,0,POINT (86.3891 23.78184),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.22938144329896906,0.016335227272727272,-0.2680549401860877
23.78124,86.39285,342.65,0.39,0.36,2023-10-09,1956,N20,VIIRS,1,2,302.84,2.55,N,2,10,0,POINT (86.39285 23.78124),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.07951598962834917,-0.2400365074536051,-0.21734892787524365
