latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,month,prali_fire,geometry,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,NDVI,NBR,NDWI
23.79255,86.35486,308.56,0.52,0.41,2023-10-10,1937,N20,VIIRS,1,2,296.11,2.19,N,2,10,0,POINT (86.35486 23.79255),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.03768844221105527,-0.1217437533227007,-0.08256880733944955
23.79066,86.37,309.05,0.52,0.41,2023-10-10,1937,N20,VIIRS,1,2,295.89,1.73,N,2,10,0,POINT (86.37 23.79066),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.6127054889941488,0.3625235404896422,-0.5571697605595911
23.69479,87.12092,316.36,0.47,0.4,2023-10-10,1937,N20,VIIRS,1,2,298.17,2.3,N,2,10,0,POINT (87.12092 23.69479),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.016052880075542966,-0.19541375872382852,-0.2181132075471698
23.78374,86.39462,324.64,0.51,0.41,2023-10-10,1937,N20,VIIRS,1,2,297.69,3.03,N,2,10,0,POINT (86.39462 23.78374),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.6298057867617916,0.2201780415430267,-0.5876447876447877
23.78436,86.38962,308.77,0.51,0.41,2023-10-10,1937,N20,VIIRS,1,2,295.57,3.03,N,2,10,0,POINT (86.38962 23.78436),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.7676646706586826,0.556305356389709,-0.6212653778558875
23.69235,87.11113,307.87,0.47,0.4,2023-10-10,1937,N20,VIIRS,1,2,297.4,1.04,N,2,10,0,POINT (87.11113 23.69235),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.19289940828402366,0.03917525773195876,-0.2545115121344119
23.69115,87.12033,313.86,0.47,0.4,2023-10-10,1937,N20,VIIRS,1,2,297.97,1.41,N,2,10,0,POINT (87.12033 23.69115),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.14343845371312308,-0.21727019498607242,-0.37128914192761286
23.78749,86.33341,320.45,0.52,0.41,2023-10-10,1937,N20,VIIRS,1,2,299.0,3.39,N,2,10,0,POINT (86.33341 23.78749),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,-0.010584958217270195,-0.3110938712179985,-0.12333965844402277
23.78058,86.38903,330.79,0.51,0.41,2023-10-10,1937,N20,VIIRS,1,2,298.36,3.03,N,2,10,0,POINT (86.38903 23.78058),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.08223684210526316,-0.21875927574948056,-0.1797400268937696
23.77995,86.39403,324.62,0.51,0.41,2023-10-10,1937,N20,VIIRS,1,2,299.21,3.03,N,2,10,0,POINT (86.39403 23.77995),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.036013813517513565,-0.2304873580065958,-0.1551155115511551
23.78247,86.37386,310.77,0.51,0.41,2023-10-10,1937,N20,VIIRS,1,2,296.06,2.58,N,2,10,0,POINT (86.37386 23.78247),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.08009708737864078,-0.1920108942351339,-0.14175753688261705
23.73419,86.75721,307.83,0.49,0.4,2023-10-10,1937,N20,VIIRS,1,2,296.76,1.96,N,0,10,0,POINT (86.75721 23.73419),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.1631027253668763,-0.008577555396711936,-0.1956896551724138
23.69052,87.09671,313.8,0.47,0.4,2023-10-10,1937,N20,VIIRS,1,2,298.49,1.62,N,2,10,0,POINT (87.09671 23.69052),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,-0.05531914893617021,-0.06722689075630252,-0.10110644792064098
23.68752,87.11974,307.98,0.47,0.4,2023-10-10,1937,N20,VIIRS,1,2,296.59,1.41,N,2,10,0,POINT (87.11974 23.68752),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.38301647655259824,-0.2992550732083226,-0.4278984559015964
23.79684,86.35323,324.59,0.52,0.41,2023-10-10,1937,N20,VIIRS,1,2,296.92,2.87,N,2,10,0,POINT (86.35323 23.79684),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.15414110429447853,-0.07127429805615551,-0.24689312344656172
23.79816,86.34312,308.91,0.52,0.41,2023-10-10,1937,N20,VIIRS,1,2,296.97,3.64,N,2,10,0,POINT (86.34312 23.79816),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.04509921828021648,-0.18288669487541137,-0.1548172757475083
23.69398,87.12283,318.67,0.47,0.4,2023-10-10,1937,N20,VIIRS,1,2,297.96,1.92,N,2,10,0,POINT (87.12283 23.69398),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,-0.1344922232387923,-0.24440894568690097,0.015608740894901144
23.69035,87.12225,320.49,0.47,0.4,2023-10-10,1937,N20,VIIRS,1,2,297.93,1.92,N,2,10,0,POINT (87.12225 23.69035),IND.36_1,IND,India,West Bengal,Bangla|Bengala Occidentale|Benga,,State,State,,IN.WB,IN-WB,0.02382064455861747,-0.3762094479225953,-0.2803738317757009
23.79305,86.35264,319.29,0.52,0.41,2023-10-10,1937,N20,VIIRS,1,2,297.01,2.87,N,2,10,0,POINT (86.35264 23.79305),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.022485207100591716,-0.29238329238329236,-0.0945945945945946
23.79041,86.37283,306.73,0.51,0.41,2023-10-10,1937,N20,VIIRS,1,2,295.41,1.51,N,2,10,0,POINT (86.37283 23.79041),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.5158585490339045,0.2909034461347408,-0.485
23.78398,86.39237,324.54,0.51,0.41,2023-10-10,1937,N20,VIIRS,1,2,297.82,3.69,N,2,10,0,POINT (86.39237 23.78398),IND.15_1,IND,India,Jharkhand,Vananchal,,State,State,,IN.JH,IN-JH,0.7455621301775148,0.36416184971098264,-0.659634317862166
